Name,Spect Name,Spect Type,Teff,log g,Fe/H,class
HD065953 ,s0287,K4III,3960,1.68,-0.36,K
HD066141 ,s0289,K2III,4258,1.9,-0.3,K
HD066573 ,s0290,G0,5733,4.38,-0.56,G
HD067228 ,s0292,G1IV,5745,4.08,0.1,G
HD067523 ,s0291,F2mp?,7010,3.15,0.34,F
HD068284 ,s0294,F8,5860,3.98,-0.57,F
HD069267 ,s0295,K4III,4039,1.51,-0.12,K
HD069611 ,s0296,F8,5793,4.32,-0.56,F
HD069830 ,s0297,K0V,5484,4.64,-0.13,K
HD069897 ,s0299,F6V,6306,4.27,-0.25,F
HD070272 ,s0300,K5III,3895,1.27,0.04,K
HD071030 ,s0301,F6V,6516,4.03,-0.25,F
HD072184 ,s0302,K2III,4624,2.61,0.12,K
HD072324 ,s0303,G9III,4887,2.13,0.16,G
HD072660 ,s0304,A1V,9692,4,0.34,A
HD072905 ,s0306,G1.5Vb,5864,4.48,-0.04,G
HD073394 ,s0309,G5IIIw,4500,1.1,-1.38,G
HD073471 ,s0305,K2III,4489,2.01,0.11,K
HD073593 ,s0311,G8IV,4717,2.25,-0.12,G
HD073665 ,s0308,K0III,4965,2.35,0.16,K
HD073898 ,s0307,G4III,5030,2.8,-0.43,G
HD074000 ,s0310,F6VI,6166,4.19,-2.02,F
HD074011 ,s0312,F8,5727,4.29,-0.62,F
HD074377 ,s0316,K3V,4913,4.63,-0.07,K
HD074395 ,s0313,G2Iab,5250,1.3,-0.05,G
HD074442 ,s0315,K0III,4657,2.51,-0.06,K
HD074462 ,s0319,G5IV,4527,1.53,-1.41,G
HD074721 ,s0317,A0V,8560,3.57,-1.42,A
HD075318 ,s0320,G5,5422,4.5,-0.04,G
HD075691 ,s0321,K3III,4270,2.12,-0.05,K
HD075732 ,s0322,G8V,5079,4.48,0.16,G
HD076151 ,s0323,G2V,5692,4.28,0.08,G
HD076292 ,s0324,F3III,6840,3.61,0.41,F
HD076780 ,s0326,G5,5869,4.8,0.21,G
HD076813 ,s0330,G9III,6072,4.2,-0.82,G
HD076910 ,s0328,F5,6275,4.1,-0.5,F
HD076932 ,s0325,F7-8IV-V,5866,3.96,-0.93,F
HD077236 ,s0332,K0III,4557,1.97,-0.42,K
HD077338 ,s0331,K0IV,5290,4.75,0.26,K
HD078209 ,s0336,Am,7099,4.2,0.24,A
HD078234 ,s0334,F2V,6775,3.78,-0.26,F
HD078541 ,s0333,K4/K5III,3890,1.55,-0.29,K
HD078558 ,s0335,G3V,5718,4.25,-0.38,G
HD078732 ,s0338,G8II,4900,2,0.24,G
HD078737 ,s0337,F3V,6350,3.8,-0.6,F
HD079211 ,s0339,M0V,3769,4.71,-0.4,M
HD079452 ,s0340,G6III,4829,2.43,-0.49,G
HD079633 ,s0342,A3,7099,4.15,-0.52,A
HD079765 ,s0341,A3,7000,4.15,-0.25,A
HD080390 ,s0343,M4IIIa,3430,1.02,0,M
HD081009 ,s0344,A5spe..,9164,4,0.31,A
HD081029 ,s0345,F0,6700,4.44,-0.01,F
HD081192 ,s0346,G7III,4705,2.5,-0.62,G
HD081797 ,s0347,K3II-III,4120,1.54,-0.06,K
HD081817 ,s0355,K3IIIa,4030,1.64,0.15,K
HD082074 ,s0349,G6IV,5055,3.3,-0.48,G
HD082210 ,s0352,G4III-IV,5198,3.19,-0.28,G
HD082590 ,s0350,F6:w?,6150,3.2,-1.29,F
HD082734 ,s0351,K0III,4709,2.65,0.3,K
HD082885 ,s0353,G8IV-V,5488,4.61,0,G
HD083212 ,s0354,G8:IIIw...,4600,1.3,-1.4,G
HD083425 ,s0356,K3III,4120,1.77,-0.29,K
HD083506 ,s0360,K0III,4710,2.54,0.08,K
HD083618 ,s0357,K3III,4231,1.74,-0.08,K
HD083632 ,s0358,K2III,4198,1,-1,K
HD084441 ,s0361,G1II,5310,1.81,-0.13,G
HD084737 ,s0362,G2V,5874,4.07,0.08,G
HD084937 ,s0363,F5VI,6228,4.01,-2.17,F
HD085235 ,s0364,A3IV,11200,3.55,-0.4,A
HD085503 ,s0366,K0III,4472,2.33,0.23,K
HD085773 ,s0367,G:w?,4463,0.97,-2.19,G
HD086986 ,s0368,A1V,7832,3.14,-1.4,A
HD087140 ,s0370,K0,5099,2.76,-1.7,K
HD087141 ,s0369,F5V,6319,3.94,0.08,F
HD087737 ,s0371,A0Ib,9730,1.97,-0.04,A
HD087822 ,s0372,F4V,6533,4.18,0.1,F
HD088230 ,s0373,K7V,3861,4.68,-0.93,K
HD088446 ,s0374,F8,5883,4.43,-0.45,F
HD088609 ,s0376,G5IIIwe,4513,1.26,-2.64,G
HD088725 ,s0375,G1V,5634,4.5,-0.65,G
HD088737 ,s0377,F9V,5994,3.92,0.17,F
HD088986 ,s0378,G0V,5800,4.07,0.01,G
HD089010 ,s0379,G1.5IV-V,5698,3.92,0.01,G
HD089254 ,s0380,F2III,7304,3.78,0.25,F
HD089449 ,s0381,F6IV,6493,4.06,0.21,F
HD089484 ,s0382,K1IIIb,4470,2.12,-0.38,K
HD089707 ,s0383,G1V,5957,4.37,-0.41,G
HD089744 ,s0384,F7V,6219,3.95,0.23,F
HD089822B ,s0386,A0sp?,5538,2.44,0.51,A
HD089995 ,s0385,F6V,6233,3.95,-0.34,F
HD090508 ,s0387,G1V,5787,4.4,-0.21,G
HD091347 ,s0389,F8,5889,4.21,-0.47,F
HD091889 ,s0390,F7V,6067,4.15,-0.23,F
HD092523 ,s0391,K3III,4045,1.88,-0.27,K
HD093329 ,s0392,A0,8075,2.8,-1.48,A
HD093487 ,s0393,F8,5250,1.8,-1.05,F
HD094028 ,s0394,F4V,5941,4.21,-1.49,F
HD095128 ,s0396,G0V,5813,4.34,0.04,G
HD095578 ,s0397,M0III,3700,1.22,-0.23,M
HD095735 ,s0398,M2V,3828,4.9,-0.2,M
HD096360 ,s0400,M?,3550,0.5,-0.58,M
HD097560 ,s0402,G0,5250,2,-1.1,G
HD097633 ,s0403,A2V,9509,3.45,0.28,A
HD097855 ,s0406,F6V+?,6260,4.05,-1.03,F
HD097907 ,s0404,K3III,4351,2.07,-0.1,K
HD097916 ,s0405,F5V,6238,4.03,-0.99,F
HD098553 ,s0408,G2/G3V,5890,4.37,-0.41,G
HD099109 ,s0409,K0,5400,4.2,0.45,K
HD099648 ,s0411,G8II-III,4850,1.9,0.36,G
HD099747 ,s0412,F5Vawva,6604,4.06,-0.51,F
HD099998 ,s0413,K4III,3939,1.8,-0.31,K
HD100906 ,s0414,G8/K0w+...,4980,2,-1.02,G
HD101227 ,s0415,G0,5421,4.68,-0.4,G
HD101501 ,s0416,G8Vvar,5401,4.6,-0.13,G
HD101606 ,s0417,F4V,6320,4.12,-0.75,F
HD102224 ,s0418,K0 III,4383,2.02,-0.46,K
HD102328 ,s0420,K3 III,4390,2.09,0.35,K
HD102634 ,s0421,F7 V,6344,4.12,0.27,F
HD102870 ,s0422,F9V,6109,4.2,0.17,F
HD103095 ,s0423,G8 Vp,5025,4.56,-1.36,G
HD103578 ,s0424,A3V,8692,3.45,0.18,A
HD103877 ,s0425,Am,7341,4,0.4,A
HD103932 ,s0426,K5V,4510,4.57,0.16,K
HD104304 ,s0428,K0IV,5478,4.15,0.18,K
HD104307 ,s0427,K2III,4451,2,-0.01,K
HD104833 ,s0429,F0,7727,4.11,0.2,F
HD105262 ,s0430,B9,8542,1.5,-1.37,B
HD105452 ,s0431,F0IV/V,7003,4.1,-0.6,F
HD105546 ,s0432,G2 IIIw,5125,2.1,-1.5,G
HD105740 ,s0433,G5,4700,2.5,-0.51,G
HD106038 ,s0434,F6V-VI,5940,4.32,-1.43,F
HD106516 ,s0436,F5V,6199,4.36,-0.73,F
HD107113 ,s0437,F4V,6399,4.07,-0.51,F
HD107213 ,s0438,F8 Vs,6298,4.01,0.29,F
HD108177 ,s0441,F5 VI,6065,4.26,-1.68,F
HD108564 ,s0442,K2V,4594,4.67,-1.09,K
HD109443 ,s0444,F0V,6632,4.2,-0.65,F
HD109995 ,s0446,A0 V (HB),8300,3.5,-1.99,A
HD110014 ,s0447,K2III,4379,1.37,0.11,K
HD110379 ,s0448,F0V+?,6875,4.46,-0.09,F
HD110885 ,s0450,G0,5253,2.4,-1.53,G
HD110897 ,s0449,G0V,5830,4.23,-0.48,G
HD111631 ,s0452,M0.5V,3748,4.75,0.1,M
HD111786 ,s0453,A0III,7450,3.93,-1.6,A
HD111980 ,s0454,F7V,5600,3.7,-1.2,F
HD112028 ,s0451,A1 III,9480,3.3,0,A
HD112127 ,s0455,K2IIICN+?,4576,2.07,0.13,K
HD112413 ,s0456,A0 spe,9944,3.85,0.31,A
HD113022 ,s0458,F6Vs,6478,4.2,0.24,F
